renal,with metabolic alkalosis,vomiting
renal,with metabolic alkalosis,diuretics
renal,with metabolic alkalosis,Gitelman
renal,with metabolic alkalosis,Bartter
renal,with metabolic alkalosis,true mineralocorticoid XS
renal,with metabolic alkalosis,apparent mineralocorticoid XS
renal,with metabolic acidosis,RTAI
renal,with metabolic acidosis,RTAII
renal,with metabolic acidosis,RTAIII
renal,with metabolic acidosis,DKA
renal,with variable acid-base,Mg-depletion
renal,with variable acid-base,non-reabsorbable anion
extra-renal,with normal acid-base,anorexia
extra-renal,with normal acid-base,tea & toast diet
extra-renal,with normal acid-base,laxative abuse
extra-renal,with metabolic acidosis,diarrheoa
extra-renal,with metabolic acidosis,villous adenoma
